
> idfm-node-backend@1.0.0 map:isochrones:build
> tsx src/transport/isochrones/build-isochrones.ts --all --requests-per-minute 6000 --keep-archives

Walking radar: 30754 origins, 0 cached, 30754 pending, at least 6151 ORS requests.
Catalog/provider/validation changed: rebuilding scopes from verified origin checkpoints. Older caches are kept but not reused.
ORS: 750/30754 processed; 150 requests; 0 unavailable origins.
ORS: 755/30754 processed; 151 requests; 0 unavailable origins.
ORS: 760/30754 processed; 152 requests; 0 unavailable origins.
ORS: 765/30754 processed; 153 requests; 0 unavailable origins.
ORS: 770/30754 processed; 154 requests; 0 unavailable origins.
ORS: 775/30754 processed; 155 requests; 0 unavailable origins.
ORS: 780/30754 processed; 156 requests; 0 unavailable origins.
ORS: 785/30754 processed; 157 requests; 0 unavailable origins.
ORS: 790/30754 processed; 158 requests; 0 unavailable origins.
ORS: 795/30754 processed; 159 requests; 0 unavailable origins.
ORS: 800/30754 processed; 160 requests; 0 unavailable origins.
ORS: 805/30754 processed; 161 requests; 0 unavailable origins.
ORS: 810/30754 processed; 162 requests; 0 unavailable origins.
ORS: 815/30754 processed; 163 requests; 0 unavailable origins.
ORS: 820/30754 processed; 164 requests; 0 unavailable origins.
ORS: 825/30754 processed; 165 requests; 0 unavailable origins.
ORS: 830/30754 processed; 166 requests; 0 unavailable origins.
ORS: 835/30754 processed; 167 requests; 0 unavailable origins.
ORS: 840/30754 processed; 168 requests; 0 unavailable origins.
ORS: 845/30754 processed; 169 requests; 0 unavailable origins.
ORS: 850/30754 processed; 170 requests; 0 unavailable origins.
ORS: 855/30754 processed; 171 requests; 0 unavailable origins.
ORS: 860/30754 processed; 172 requests; 0 unavailable origins.
ORS: 865/30754 processed; 173 requests; 0 unavailable origins.
ORS: 870/30754 processed; 174 requests; 0 unavailable origins.
ORS: 875/30754 processed; 175 requests; 0 unavailable origins.
ORS: 880/30754 processed; 176 requests; 0 unavailable origins.
ORS: 885/30754 processed; 177 requests; 0 unavailable origins.
ORS: 890/30754 processed; 178 requests; 0 unavailable origins.
ORS: 895/30754 processed; 179 requests; 0 unavailable origins.
ORS: 900/30754 processed; 180 requests; 0 unavailable origins.
ORS: 905/30754 processed; 181 requests; 0 unavailable origins.
ORS: 910/30754 processed; 182 requests; 0 unavailable origins.
ORS: 915/30754 processed; 183 requests; 0 unavailable origins.
ORS: 920/30754 processed; 184 requests; 0 unavailable origins.
ORS: 925/30754 processed; 185 requests; 0 unavailable origins.
ORS: 930/30754 processed; 186 requests; 0 unavailable origins.
ORS: 935/30754 processed; 187 requests; 0 unavailable origins.
ORS: 940/30754 processed; 188 requests; 0 unavailable origins.
ORS: 945/30754 processed; 189 requests; 0 unavailable origins.
